Education & Educational Research	Inhuman literacies and affective refusals: Thinking with Sylvia Wynter and secondary school English
Sociology	Inequality in the Promised Land: Race, Resources, and Suburban Schooling
Demography	Beyond the local marriage market: The influence of modernization on geographical heterogamy
Social Work	Acceptability of a Social Support Intervention for Re-entering Prisoners
Social Sciences, Mathematical Methods	Locating Longitudinal Respondents After a 50-Year Hiatus
Education & Educational Research	Introduction to Special IssueSTEM Workforce: STEM Education and the Post-Scientific Society
Regional & Urban Planning	Core themes of the Soil Policy: Sustainable Development and Balance of Interests
Gerontology	Reducing High Risk Medications: Decreased Utilization of Oral and Transdermal Estrogens in Women 64 years and older
History & Philosophy Of Science	Text, Image, Flusser Anke Finger, Rainer Guldin, and Gustavo Bernardo, Vilem Flusser Vilem Flusser, Into the Universe of Technical Images Vilem Flusser, Does Writing Have a Future?
Political Science	Irish General Election 2020: two-and-a-half party system no more?
Business	The role of perceived relational support in entrepreneur-customer dyads
Business, Finance	Resolving Disputed Financial Reporting Issues: Effects of Auditor Negotiation Experience and Engagement Risk on Negotiation Process and Outcome
Transportation	Is it in Germany's economic interest to allow Emirates to fly to Berlin? A framework for analysis
Business	Anticipated vs. Actual Synergy in Merger Partner Selection and Post-Merger Innovation
Regional & Urban Planning	Can Tocqueville Karaoke? Global contrasts of citizen participation, the arts and development
Development Studies	Introduction: emerging powers and the UN - what kind of development partnership?
Political Science	The Politics of Social Cohesion in Germany, France and the United Kingdom
Rehabilitation	Occupational marginalisation facing transgender adults post transition
Social Work	HIV Case Manager Preparedness for Practice in Ryan White CARE Act Funded Settings
Area Studies	A constructed (un)reality on China's re-entry into Africa: the Chinese online community perception of Africa (2006-2008)
Information Science & Library Science	Protecting personal data in E-government: A cross-country study
Business	SEMANTIC ASSOCIATIONS FOR CONTEXTUAL ADVERTISING
Women'S Studies	TRANSSEXUALITY UNDER SURVEILLANCE IN IRAN CLERICAL CONTROL OF KHOMEINI'S FATWAS
Communication	Reducing Group Alignment in Factual Disputes? The Limited Effects of Social Identity Interventions
Psychology, Multidisciplinary	The great American lawyer joke explosion
Social Sciences, Interdisciplinary	Validating an evaluation checklist using a mixed method design
Industrial Relations & Labor	A STUDY OF THE EXTENT AND POTENTIAL CAUSES OF ALTERNATIVE EMPLOYMENT ARRANGEMENTS
Social Issues	Report faults food-safety agency
Substance Abuse	Overseas Internet poker and problem gambling in Finland 2007: A secondary data analysis of a Finnish population survey
Gerontology	Postural Hand Tremor and Incident Diabetes: The Bogalusa Heart Study
Environmental Studies	Impacts of Reintroduced Bison on First Nations People in Yukon, Canada: Finding Common Ground through Participatory Research and Social Learning
Geography	New Zealand coastal system boundaries, connections and management
Information Science & Library Science	Lecturer Salute!
Substance Abuse	EXAMINING AMBULANCE ATTENDANCES ACROSS THE LIFESPAN: ALCOHOL-RELATED ATTENDANCES ACROSS METROPOLITAN AND REGIONAL VICTORIA
Health Policy & Services	Building for change: university hospital design for future clinical learning
Social Sciences, Mathematical Methods	Gender and risk taking: evidence from jumping competitions
Geography	UTILIZATION L2C CODE FOR DETERMINATION OF USER'S POSITION
Criminology & Penology	THE SHORT-TERM EFFECTS OF EXECUTIONS ON HOMICIDES: DETERRENCE, DISPLACEMENT, OR BOTH?
Environmental Studies	Environmental Research at the Interfaces of Human-Environment and of Science-Society
Family Studies	The deal: Wives, entrepreneurial business and family life
Communication	"""In the Mood to Game"": Selective exposure and mood management processes in computer game play"
Rehabilitation	Best practices for documenting occupational therapy services in schools
Regional & Urban Planning	Borders: A History of the Coexistence from Limes to Schengen
Family Studies	Adapting to Marriage Markets: International Marriage Migration from Vietnam to South Korea.
Regional & Urban Planning	Integrating Mobility and Urban Development Agendas: a Manifesto
Nursing	"Parents"" and Staff Perceptions of Parental Needs During a Child""s Hospital Admission: An Australian Study"
Law	EXCISING FEDERALISM: THE CONSEQUENCES OF BAKER V. CARR BEYOND THE ELECTORAL ARENA
Social Sciences, Interdisciplinary	A process evaluation of an intervention to promote home smoking bans among low income households
History & Philosophy Of Science	Old Age, New Science: Gerontologists and Their Biosocial Visions, 1900-1960
Law	FREE MOVEMENT OF GOODS
Psychology, Multidisciplinary	Defending laughter: an account of Brazilian court cases involving humor, 1997-2014
Linguistics	Endangered Metaphors
Demography	Birthplace, Migration and Crime. The Australian Experience
International Relations	The Children of 1990
Development Studies	Response to 'What do the Worldwide Governance Indicators Measure?'
Psychology, Multidisciplinary	Learning to laugh when you feel like crying: Embracing life after loss
Health Policy & Services	The long road to health reform requires bipartisan leadership
Cultural Studies	'Diaspora girls doing identities': Creating ideal television programmes and narratives of the self
International Relations	The Mind(s) of China: Don't Deeds Speak Louder Than Words?
Ethnic Studies	Introduction: Theorizing the civic turn in European integration policies
Social Sciences, Biomedical	Bigger, faster, better? Rhetorics and practices of large-scale research in contemporary bioscience Introduction
Education, Special	Use of Self-Monitoring to Maintain Program Fidelity of Multi-Tiered Interventions
Economics	Decent rural employment and farm production efficiency: empirical evidence from Tanzania and Ethiopia
Management	Dialogue, Debate, and Discussion
Social Sciences, Interdisciplinary	HIV Testing and HIV Serostatus-Specific Sexual Risk Behaviour Among Men Who Have Sex with Men Living in England and Recruited Through the Internet in 2001 and 2008
Communication	Personalization 2.0? - Testing the personalization hypothesis in citizens', journalists', and politicians' campaign Twitter communication
Public Administration	Debate: Railway policy-another damp squib
Area Studies	Deadly Tightrope Walk. The National Association of Jews in Germany between Hope, Coercion, Self Assertion and Entanglement (1939-1945)
Law	HOW MANY FIDUCIARY DUTIES ARE THERE IN CORPORATE LAW?
History	CGT from 1966 to 1984: the imprint of May 1968
Social Issues	Legislative Advocacy Under Competitive Authoritarian Regimes: The Case of Civil Society in Jordan
Women'S Studies	Gendered Mobility: Travel as a Rite of Passage
Social Sciences, Mathematical Methods	A mixed effects model for identifying goal scoring ability of footballers
Rehabilitation	Motivation in rehabilitation and acquired brain injury: can theory help us understand it?
Regional & Urban Planning	Reflexivity and post-colonial critique: Toward an ethics of accountability in planning praxis
Linguistics	Considering 'Trans-' Perspectives in Language Theories and Practices
Rehabilitation	SPECIALIST SUBSECTION PAIN
Development Studies	Can Concerns for Social Status Mitigate the 'Lemons Problem'? Experimental Evidence from the Indian Caste Hierarchy
Rehabilitation	Cross-cultural adaptation, reliability and validity of the Arabic version of the reduced Western Ontario and McMaster Universities Osteoarthritis index in patients with knee osteoarthritis
Business, Finance	Meet the relatives
Ethics	How Technology Features Influence Public Response to New Agrifood Technologies
Education & Educational Research	Reenvisioning Writing Pedagogy and Learning Disabilities Through a Black Girls' Literacies Framework
Substance Abuse	Critical considerations in responding to crystal methamphetamine use in Australian Aboriginal communities
Hospitality, Leisure, Sport & Tourism	Books and travel: inspirations, quests, and transformations (tourism and cultural change)
Management	Supply chain coordination based on return contracts with a threshold ordering quantity
Geography	Meyer's universe. On the 150. birthday of the Leipzig publisher and geographer Hans Meyer (1858-1929)
Linguistics	Not just any order! Revealing identity constructions of Muslims in the Mohammad cartoons
Development Studies	The Decline and Fall of Europe
Law	NO LEAPFROGGING OF CONTRACT IN UNJUST ENRICHMENT
Health Policy & Services	Durable Medical Equipment And Home Health Among The Largest Contributors To Area Variations In Use Of Medicare Services (vol 31, pg 956, 2012)
Economics	Endogenous timing in the presence of non-monotonicities
Criminology & Penology	Transforming youth justice: Occupational identity and cultural change
Public, Environmental & Occupational Health	Sugar-Sweetened Beverage Health Warnings and Purchases: A Randomized Controlled Trial
Nursing	Prevalence and Association of Pain Experiences, Medication Literacy, and Use of Medication among Children and Adolescents in Taiwan
Gerontology	Falls and Wrist Fracture: Relationship to Women's Functional Status after Age 50
Women'S Studies	No Woman's Land: Marriage in the Fiction of Buchi Emecheta
Health Policy & Services	Understanding Variations in Medicare Consumer Assessment of Health Care Providers and Systems Scores: California as an Example
International Relations	NATO beyond 9/11: the transformation of the Atlantic alliance.
History	Trees in Anglo-Saxon England: Literature, Lore and Landscape
Industrial Relations & Labor	Fragmented outcomes: International comparisons of gender, managerialism and union strategies in the nonprofit sector
Rehabilitation	Psychometric properties of the single assessment numeric evaluation in patients with lower extremity pathologies. A systematic review
Public Administration	Minding the Time: A Critical Look at Longitudinal Design and Data Analysis in Quantitative Public Management Research
History & Philosophy Of Science	The Global Environment and World Politics.
Business, Finance	The effect of quantitative easing on the variance and covariance of the UK and US equity markets
Transportation	Investigation into the built environment impacts on pedestrian crash frequencies during morning, noon/afternoon, night, and during peak hours: a case study in Miami County, Florida
Information Science & Library Science	Emotional reactions to incidental exposure to online news
Ethics	On Emotions: Philosophical Essays
Family Studies	The Importance of Love as a Basis of Marriage: Revisiting Kephart (1967)
Family Studies	Effects of Parental Incarceration on Children: Cross-National Comparative Studies
Family Studies	Influence of intimate partner violence on behaviour, psychological status and school performance of children in Sri Lanka
Public Administration	Exploring the Australian policy context relating to women's reproductive choices
Linguistics	Teratonymy: The Weird and Monstrous Names of HP Lovecraft
Health Policy & Services	Towards a coherent global framework for health financing: recommendations and recent developments
Public, Environmental & Occupational Health	The State of the US Governmental Public Health Workforce, 2014-2017
Urban Studies	Spatio-temporal Urban Growth Modeling of Jaipur, India
Economics	BAYESIAN ESTIMATION OF ENTRY GAMES WITH MULTIPLE PLAYERS AND MULTIPLE EQUILIBRIA
Business, Finance	Calibration of local correlation models to basket smiles
Anthropology	TOWARDS A DOUBLE REFLEXIVE ETHNOGRAPHY: A PROPOSAL ON THE ANTHROPOLOGY OF INTERCULTURALITY
Regional & Urban Planning	Understanding Uncertainty.
Health Policy & Services	Rock, Paper, Scissors
Family Studies	Time Off After Childbirth and Mothers' Risk of Depression, Parenting Stress, and Parenting Practices
Linguistics	THE LEXICALIST HYPOTHESIS: BOTH WRONG AND SUPERFLUOUS
Ethics	Testing Hypotheses on Risk Factors for Scientific Misconduct via Matched-Control Analysis of Papers Containing Problematic Image Duplications
Women'S Studies	Other Women Cooked for My Husband: Negotiating Gender, Food, and Identities in an African American/Ghanaian Household
Psychology, Multidisciplinary	Art as Civic Inspiration
Social Sciences, Interdisciplinary	From Rhetoric to Reality: Challenges in Using Data to Report on a National Set of Child Well-being Indicators
Public, Environmental & Occupational Health	Genetic Variation Impacts in Patients with Major Beta-Thalassemia
Hospitality, Leisure, Sport & Tourism	Cruise Sector Futures: Exploring Growth-related Opportunities and Challenges, 1st International Cruise Conference, 26-27 September 2008, Bremerhaven
Communication	My Media Studies Life with the Decepticons
Information Science & Library Science	Color by Kristin: How To Design Your Own Beautiful Knits.
Health Policy & Services	Responding to patient anger: Development and evaluation of an oncology communication skills training module
Political Science	Were Newspapers More Interested in Pro-Obama Letters to the Editor in 2008? Evidence From a Field Experiment
History	Ethnoscapes of Exile: Political Prisoners from Indochina in a Colonial Asian World
Demography	Trends in educational assortative marriage in China from 1970 to 2000
Environmental Studies	Legitimate adaptive flood risk governance beyond the dikes: the cases of Hamburg, Helsinki and Rotterdam
Industrial Relations & Labor	An update on SOII undercount research activities
Social Sciences, Biomedical	Petty Cash and the Neuroscientific Mapping of Pleasure
Environmental Studies	Multistakeholder environmental governance in action: REDD plus discourse coalitions in Tanzania
Public, Environmental & Occupational Health	Ultra-processed food intake and risk of type 2 diabetes in a French cohort of middle-aged adults
Linguistics	Cognitive Pragmatics
Social Sciences, Biomedical	Embryo as 'one of us': Assisted reproductive technologies and the making of 'homo juridicus' in Italy
Gerontology	Comparative clinical epidemiology of antibiotic therapy-requiring nosocomial infections in geriatric psychiatry: results of a 3-year prospective survey in a teaching psychiatric hospital
Business	Consumers' willingness to pay using an experimental auction methodology: applications to brand equity
Gerontology	Eye Injuries in Elderly Adults Presenting to U.S. Emergency Departments
Business, Finance	Credit risk management in Greater China
Women'S Studies	Setting Sail for Lakshadweep: Leela Dube and the Study of Matrilineal Kinship
Psychology, Multidisciplinary	Seven decades after Hans Asperger's observations: A comprehensive study of humor in individuals with Autism Spectrum Disorders
Social Issues	The Age of Scientific Naturalism: Tyndall and His Contemporaries
Hospitality, Leisure, Sport & Tourism	Relationships among work-family supportive supervisors, career competencies, and job involvement
Family Studies	Family Problems: Stress, Risk, and Resilience
Gerontology	FRAILTY IN OLDER WOMEN SEEKING TREATMENT FOR PELVIC FLOOR DISORDERS
Economics	On the multiplicity of monetary equilibria: Green-Zhou meets Lagos-Wright
Sociology	Socialism's struggles with Eros: Politics of the body in Cuba and China
Transportation	A behavioral choice model of the use of car-sharing and ride-sourcing services
Management	Self-initiated expatriation: implications for HRM
Transportation	Challenging human driver taxis with shared autonomous vehicles: a case study of Chicago
Social Issues	Science, Gender, and the Balanced Life
Hospitality, Leisure, Sport & Tourism	A Conceptual Model of Wellness Destination Characteristics That Contribute to Psychological Well-Being
Social Issues	Dropout of Hospital Volunteers in Italy
Cultural Studies	For history of cultural policies in the world, 1945-2011
Gerontology	Patient Factors Linked with Return Acute Healthcare Use in Older Adults by Discharge Disposition
Education & Educational Research	Diversity in teachers' approaches to movement integration: A qualitative study of lower secondary school teachers' perceptions of a state school reform involving daily physical activity
Industrial Relations & Labor	Profit Sharing for Increased Training Investments
Social Sciences, Interdisciplinary	Why palliative care patients withhold their spiritual hope from their physicians and nurses
Public Administration	Faster? Cheaper? Better? Using ADR to Resolve Federal Sector EEO Complaints
Communication	TRAJECTORIES OF WOMEN JOURNALISTS' CAREERS IN HONG KONG A field theory perspective
Public Administration	Local Government, the Internet, and Sustainability
Health Policy & Services	Intervention thresholds: a conceptual frame for advance care planning choices
Public, Environmental & Occupational Health	Self-reported Pre-pregnancy Weight Versus Weight Measured at First Prenatal Visit: Effects on Categorization of Pre-pregnancy Body Mass Index
Cultural Studies	Carmen and the staging of Spain: recasting Bizet's opera in the Belle Epoque
Women'S Studies	Religion for the Modern Girl: Maude Royden in Australia, 1928
Social Sciences, Biomedical	Changing cells: An analysis of the concept of plasticity in the context of cellular differentiation
Social Issues	A CRITICAL ANALYSIS OF THE CROATIAN DEVELOPMENT INDEX: THREE TYPES OF DEVELOPMENT AND THEIR REGIONAL POSITION
Economics	The drivers of household indebtedness reconsidered: An empirical evaluation of competing arguments on the macroeconomic determinants of household indebtedness in OECD countries
Public Administration	Policy Change and Industry Associability: The Australian Mining Sector
Area Studies	Patterns of Authority and Governance in Rural China: who's in charge? Why?
Criminology & Penology	Social support, ethnic heterogeneity, and homicide: A cross-national approach
Political Science	Donald Trump's Hate-In
Substance Abuse	The Effects of Current Subsyndromal Psychiatric Symptoms or Past Psychopathology on Alcohol Dependence Treatment Outcomes and Acamprosate Efficacy
History	The Rise and Fall of American Growth: The US Standard of Living since the Civil War.
Industrial Relations & Labor	Intermediary cooperative associations and the institutionalization of participative work practices: A case study in the Danish public sector
Urban Studies	Nested dependent city-regions: FDI, uneven development, and Slovakia's Bratislava, Nitra, Trencin, Trnava, and Zilina city-regions
Regional & Urban Planning	"Positioning Latin America within the Southern Turn in Planning: Perspectives on an ""Emerging Field"" Conclusion to the Special Issue on Latin America"
Geography	Approaching borders, creating borderland spaces, and exploring the evolving borders between Canada and the United States
Education, Special	Evidence-Based Social Skills Interventions for Students at Risk for EBD
Management	Logos and Initial Compliance: A Strong Case of Mindless Trust
Public Administration	A Reflection on the Bushfire Royal Commission - Blame, Accountability and Responsibility
History & Philosophy Of Science	Contrastive confirmation: some competing accounts
Substance Abuse	Risky Sexual Behaviors, Substance Use, and Perceptions of Risky Behaviors Among Criminal Justice Involved Women Who Trade Sex
Sociology	Significance Testing is Still Wrong, and Damages Real Lives: A Brief Reply to Spreckelsen and Van Der Horst, and Nicholson and McCusker
Environmental Studies	Empowering impact assessments knowledge and international research collaboration - A bibliometric analysis of Environmental Impact Assessment Review journal
Nursing	Relationships Between Alanine Aminotransferase, Serum Triglycerides, Body Mass Index and Nonalcoholic Fatty Liver Disease in an Outpatient Pediatric Clinic Population
Development Studies	Optimised or compromised? United Kingdom support to reforming security sector governance in post-war Nepal
Public, Environmental & Occupational Health	Characteristics of physicians, their migration patterns and distance: a longitudinal study in Hiroshima, Japan
Anthropology	Subadult sex estimation from diaphyseal dimensions
Environmental Studies	Pinning down the social license to operate (SLO): The problem of normative complexity
Women'S Studies	what can money do? feminist theory in austere times
Substance Abuse	Comparing injecting and sexual risk behaviors of long-term injectors with new injectors: A meta-analysis
Social Sciences, Biomedical	Abortion in Asia: Local Dilemmas, Global Politics
Public, Environmental & Occupational Health	Report of immigration at New York for the week ended May 3, 1902
Social Work	Complexity Theory: Developing New Understandings of Child Protection in Field Settings and in Residential Child Care
International Relations	Pathways to global democracy? Escaping the statist imaginary
Management	Preferred risk allocation in China's public-private partnership (PPP) projects
Management	Varieties of collaboration: the case of an Australian retail union
Communication	Untitled
Regional & Urban Planning	Jae Kwang Lee, Chang Gyu Choi, Byeong Sun Jeong and Jung Won Sonn - Korea
Development Studies	The Short Guide to Community Development
Business, Finance	Causal effect of analyst following on corporate social responsibility
Social Work	Wrapping and Unwrapping Emotions: Clinical Practice with East Asian Immigrant Elders
Communication	The social mediated age of information: Twitter and Instagram as tools for information dissemination in higher education
Social Work	Group-Based Strategies Employed in the Wartime and Post-War Treatment of Psychological Trauma: Experience from the War in Croatia
Ethics	The Pealosa Principle of Transportation Democracy: Lessons from Bogota on the Morality of Urban Mobility
Rehabilitation	GROUPS, WORKSHOPS OR PARENT EDUCATION: WHAT, WHICH, HOW AND WHY?
History & Philosophy Of Science	Scientific Instruments on Display
Communication	From the Girl to the World: Good Girls as Political Endorsers and Agents of Change
Linguistics	REPORT OF THE 6TH INTERNATIONAL CONFERENCE IN EVOLUTIONARY LINGUISTICS
Business, Finance	A Pirate Comes Clean
Development Studies	Reforming Global Economic Governance as if Development Mattered
Geography	Between the devil and the deep blue sea: a meditation on Nietschmann's cultural ecology and politics of history
Management	Polyphony and its Other
Social Work	What Are the Policy Issues Related to the Mental Health1 of Native Americans?
Public Administration	Chronicle of the International Institute of Administrative Sciences
Social Sciences, Biomedical	Going through the back door: Chronically ill academics' experiences as 'unexpected workers'
Public Administration	Managing time: the integration of caring and paid work by low-income families and the role of the UK's tax credit system
Social Work	Carer Factors Associated with Foster-Placement Success and Breakdown
Nursing	Variation in Antibiotic Susceptibility of Uropathogens by Age Among Ambulatory Pediatric Patients
Women'S Studies	Strategic Alliance, a Way Forward for Violence Against Women: A Case for the Special Cells, India
History & Philosophy Of Science	Science in the Twentieth Century and Beyond
Hospitality, Leisure, Sport & Tourism	Using urban woodlands and forests as places for improving the mental well-being of people with dementia
Education, Special	Supplemental Educational Services Implications for Students With Disabilities
Women'S Studies	Introduction
Political Science	Disrupting Queer Inclusion: Canadian Homonationalisms and the Politics of Belonging
Women'S Studies	Economic Citizenship: Neoliberal Paradoxes of Empowerment
Area Studies	City at the Center of the World: Space, History, and Modernity in Quito
Social Issues	The Shifting Meanings of Popular Engagement in Swedish Society
Anthropology	Anthropology in blue jeans
Economics	Strategic Private Experimentation
Management	Open creative labs: Spatial settings at the intersection of communities and organizations
Economics	Revisiting purchasing power parity for East Asian countries: panel SURADF tests
Social Sciences, Mathematical Methods	Sensitivity of treatment recommendations to bias in network meta-analysis
Hospitality, Leisure, Sport & Tourism	Exploring the nature of stakeholder collaboration: a case study of marine turtle tourism in the Ningaloo region, Western Australia
Area Studies	NORTHEAST ASIA AND THE LEGACY OF HARRY S. TRUMAN: JAPAN, CHINA, AND THE TWO KOREAS
Law	Escaping the Clutches of EU Competition Law
Ethnic Studies	How is ethnicity experienced? Essentialist and constructivist notions of ethnicity in Rwanda and Burundi
Nursing	A Meta-Analysis of the Efficacy and Safety of Using Oil Massage to Promote Infant Growth
History & Philosophy Of Science	Self-ascription and the de se
Rehabilitation	The Postretirement Well-Being of Workers With Disabilities
Urban Studies	Behavioural model of collaborative urban management: extending the concept of Arnstein's ladder
Public Administration	Making Social Sciences More Scientific: The Need for Predictive Models
Communication	Neoliberal populism as hegemony: a historical-ideological analysis of US economic policy discourse
Nursing	Gaining awareness: Cultivating clinical reflection in nursing students
Sociology	Self-Identity and Everyday Life
Anthropology	Change and continuity in the long-distance exchange networks between western/central Anatolia, northern Levant and northern Mesopotamia, c.3200-1600 BCE
Gerontology	Carer levels of concern on driving and other activities in older people that put others at risk
Social Sciences, Mathematical Methods	Conducting sensitivity analysis for unmeasured confounding in observational studies using E-values: The evalue package
Environmental Studies	Environmental injustice and flood risk: a conceptual model and case comparison of metropolitan Miami and Houston, USA
Area Studies	The Last Day of Oppression, and the First Day of the Same: The Politics and Economics of the New Latin American Left
Family Studies	EDITORIAL COMMENTS
Substance Abuse	SUSTAINED-RELEASE PREPARATIONS OF NALTREXONE FOR THE TREATMENT OF ALCOHOL AND OPIOID DEPENDENCE: CURRENT STATUS
Law	The Rule of Law and Technocratisation
Social Sciences, Mathematical Methods	Integration of Stochastic Differential Equations Using Structural Equation Modeling: A Method to Facilitate Model Fitting and Pedagogy
International Relations	Assessing the UN Security Council: A Concert Perspective
Political Science	On Civic Friendship: Including Women in the State
Psychology, Multidisciplinary	Colliding Terminological Systems-Immanuel Kant and Contemporary Empirical Aesthetics
Cultural Studies	The indebted man factory: Essay on the neoliberal condition
History	What Is Microhistory? Theory and Practice
Urban Studies	Why city-region planning does not work well in China: The case of Suzhou-Wuxi-Changzhou
Area Studies	Sexual Violence during War and Peace: Gender, Power, and Post-Conflict Justice in Peru
Social Issues	"Whose Life Counts: Biopolitics and the ""Bright Line"" of Chloropicrin Mitigation in California's Strawberry Industry"
Area Studies	China's Constitutionalism Debate: Content, Context And Implications
History Of Social Sciences	Spaces of transition: testing high standard housing in late-socialist Belgrade
Public Administration	Special Issue: Public Personnel Policies: Impact on Government Performance Foreword
Cultural Studies	Powers of Powerlessness: The Politics of Defeat in the Cinema of Nouri Bouzid
Communication	In-Between Mobile Maps and Media: Movement
Industrial Relations & Labor	Public service employment restructuring in the crisis in the UK and Ireland: Social partnership in retreat
Management	Understanding mentoring relationships in China: Towards a Confucian model (vol 36, pg 415, 2019)
Management	The impact of user-perceived e-procurement quality on system and contract compliance
Urban Studies	CREATIVE CITIES: A 10-YEAR RESEARCH AGENDA
Criminology & Penology	Does the Crown Court Discriminate Against Muslim-named Offenders? a Novel Investigation Based on Text Mining Techniques
Geography	Analysis on land ecological security change and affect factors using RS and GWR in the Danjiangkou Reservoir area, China
Geography	Identifying seismic vulnerability hotspots in Bucharest
Hospitality, Leisure, Sport & Tourism	Interpretation of hospitality across religions
